id,en,ch
talk,"TALK","交谈"
entry,"ENTRY","进入"
start,"START","开始游戏"
mode1,"MODE_1","模式1"
mode2,"MODE_2","模式2"
title,"TITLE","标题界面"
completed_levels,"Completed_Levels","经过关卡数"
queen_enemys,"Destroy_Enemys","消灭敌人数"
i_talk_1,"Developers want to say：Mode 1 was developed for GameJam, and I may update other modes in the future. As the time is only 7 days, the quality of Mode 1 is slightly poor. After GameJam ends, I will release a downloadable version with a save function. Please stay tuned","开发者想说：模式1是为了GameJam而开发的，后续我可能会更新其他模式，因为时间只有7天，所以模式1质量稍差，等GameJam结束，我会推出含有保存功能的可下载版本，敬请期待"
options,"OPTIONS","游戏设置"
back,"BACK","返回"
language,"LANGUAGE","语言"
scanline,"SCANLINE","扫描线"
master,"MASTER","总音量"
bgm,"BGM","背景音乐"
sfx,"SFX","音效"
player_1,"A former special forces armorer turned mercenary, Marcus has spent 18 years mastering every firearm that enters his calloused hands. From urban warfare to jungle operations, his weapons maintenance skills and ballistic calculations remain operational in any combat environment.","马库斯曾是一名特种部队装甲兵，后来成为一名雇佣兵，他花了18年时间掌握了进入他冷酷无情的手中的每一把枪。从城市战争到丛林作战，他的武器维护技能和弹道计算在任何作战环境中都可以使用。"
player_2,"????????","????????"
npc_1_1,"Welcome to [color=red][wave]the Forst!","欢迎来到[color=red][wave]森林！"
npc_1_2,"[WASD] used for move","[WASD] 用于移动"
npc_1_3,"[SHIFT] is used to accelerate running","[SHIFT]用于加速奔跑"
npc_1_4,"[SPACE] Used for rolling","[SPACE]用于翻滚"
npc_1_5,"[E] Used for interaction","[E]用来交互"
npc_1_6,"[Left Mouse Button] Used for Shooting","[鼠标左键]用于射击"
npc_1_7,"Good luck!","祝你好运！"
gun_1,"Wilderness raiders","荒野掠夺者"
gun_2,"Powerful Thrower","强力投掷器"
gun_3,"Splitting Officer","分裂官"
gun_4,"Without any deviation","毫无偏移者"
gun_5,"Three headed Dragon","三头龙"
gun_10,"Mini Gun","小手枪"
gun_11,"Developer Cheater","开发者作弊器"
